Time	Open	High	Low	Close	Volume
2014-02-26 02:00:00	102.305	102.398	102.297	102.345	4126
2014-02-26 03:00:00	102.343	102.407	102.326	102.377	2885
2014-02-26 04:00:00	102.378	102.385	102.295	102.318	3392
2014-02-26 05:00:00	102.318	102.341	102.264	102.287	2874
2014-02-26 06:00:00	102.287	102.348	102.255	102.299	2476
2014-02-26 07:00:00	102.299	102.368	102.271	102.333	2654
2014-02-26 08:00:00	102.335	102.37	102.276	102.303	4091
2014-02-26 09:00:00	102.303	102.347	102.285	102.326	2921
2014-02-26 10:00:00	102.326	102.394	102.317	102.375	2555
2014-02-26 11:00:00	102.375	102.386	102.316	102.34	2471
2014-02-26 12:00:00	102.339	102.38	102.317	102.365	2559
2014-02-26 13:00:00	102.366	102.408	102.343	102.358	3946
2014-02-26 14:00:00	102.357	102.37	102.102	102.119	9860
2014-02-26 15:00:00	102.117	102.345	102.107	102.274	10530
2014-02-26 16:00:00	102.275	102.402	102.265	102.366	5022
2014-02-26 17:00:00	102.366	102.611	102.362	102.563	4077
2014-02-26 18:00:00	102.563	102.58	102.529	102.552	2554
2014-02-26 19:00:00	102.554	102.558	102.406	102.465	3302
2014-02-26 20:00:00	102.465	102.471	102.346	102.358	2961
2014-02-26 21:00:00	102.36	102.39	102.336	102.362	1488
2014-02-26 22:00:00	102.362	102.408	102.347	102.362	937
2014-02-26 23:00:00	102.366	102.394	102.298	102.302	1493
2014-02-27 00:00:00	102.305	102.401	102.236	102.361	6766
2014-02-27 01:00:00	102.361	102.369	102.256	102.336	4135
2014-02-27 02:00:00	102.336	102.405	102.332	102.382	2624
2014-02-27 03:00:00	102.382	102.443	102.34	102.415	2655
2014-02-27 04:00:00	102.416	102.416	102.325	102.336	2398
2014-02-27 05:00:00	102.338	102.394	102.326	102.34	3644
2014-02-27 06:00:00	102.343	102.39	102.336	102.386	2086
2014-02-27 07:00:00	102.386	102.396	102.315	102.355	2788
2014-02-27 08:00:00	102.358	102.36	102.196	102.279	5676
2014-02-27 09:00:00	102.276	102.293	101.885	101.92	8132
2014-02-27 10:00:00	101.92	101.946	101.718	101.83	7038
2014-02-27 11:00:00	101.832	101.902	101.754	101.899	5597
2014-02-27 12:00:00	101.899	101.904	101.786	101.872	4003
2014-02-27 13:00:00	101.871	102.143	101.836	102.09	8730
2014-02-27 14:00:00	102.09	102.195	102.061	102.115	8049
